erd;proposal;vote;power
erd1rxnsv8fw5p6zaf7daecv07znqfh4f8x0de7c0ufxhcnthmprtq8q4a7zxp;01;yes;1730272
erd15yr3elmfucs28y6wk24tmfjrld7sjrxuchwalpn6xehsavcte7ms7mld3h;01;yes;2031405
erd1wvp5hxc47gq6w9cy96k58pevl9gn5xdpmg54p38gkvk2a0refp7s5xh5ly;01;yes;21707821
erd1u8xp2m47n3hd7t7f9lnphjwqv3sr736satd6f3h8u8ltat9neaqqjpp2z6;01;yes;87348926
erd188pynk8n6t69zfdtw8alk32shzkzdxdrunew2wndcqmlhjgr2lrqen3cq5;01;yes;15516067
erd17jfc40a0394cna84uqy2lhts387c48907cdrdrvpkwgpj8pfsrcs0skzsp;01;yes;1000000000
erd1xcywla0cxuss7nydzp2wpanydlj7h6nn7xeesms8y699yjwpxymqvz8aga;01;yes;86768509
erd1nsxygppmz9uk6zlzxkga9vw9427v3hg878r6snhr24w54xuh2emqaux43v;01;yes;26517731
erd10u0gmt5wrg6yakvx6c7yx002j9smtdxrnsc6g7h56cysacqx856q6x82us;01;yes;6716269
erd1v7tle95rynssp682fnzgnamlr7ml4wdejhl926ykgmcpa6jl6wjs63hnv4;01;blank;23732055
erd1n97t0cezgxuq7at78p0hfufhkdlu2agp5nmefnq9ecxgm5pnst0swjrv2k;01;no;15995932
erd1x3xyhg9vjkrky3hr9jq6dj2qhh6psryj8zyx3jyp97pm87f4smjqj3qdv9;01;yes;11071003
erd17tp0wh59esa9kcuv8fc3r4kn34f8234jgspycp9t0lm309tuahnq6hw22d;01;no;108419660
erd1yurvy5fau4g0ulrvry55st9p4n4fz9vd7vrhnl5jalzf7lqvf73qgtrjxt;01;yes;558325
erd10g5wqy274qy02epgwu9h2m4ny2dn3ghplcw6gllyde8qxf7uk5wqyzuahh;01;yes;172297284
erd16f2vjwksdv68chfaa0xjx35rkxpmjygff7mzv3a6n90ymh37gshs2zqvf4;01;yes;14272965
erd1uad4970zm7hkxklsd8wnlljsclnk9dp8yqzxj4zt65y03mtk2neqp360hz;01;yes;5416509
erd1qlmqc6ygvv70w3d7ek24vdh2ql2sglkul8fx7h87nkpcvl9q433qrwrqts;01;yes;2189630
erd1yxwmvk8nlcyp5dds8s7tl3vjpje2hr2m6lqsp7mxrpuuwqvge8qszcr9sa;01;yes;6104473
erd1z3ad9g94wea2nhlenr945tew9qzrwd62kzk7zhtke7a484nvlgqspne9s7;01;yes;17777923
erd1rjwvf6k35f2t4cvlc0aaw26yr0j0qgs6lv5avykg9w52c4ux9zgs65vs62;01;yes;16832276
erd1w9slwhyzjzanfujzdk5c5zglfmq6x6mwmm6a2594ydw35ev3y2as7dwdn6;01;yes;100058919
erd1l8hg52yl3p0vm03y26r3ah39dlvetjnk8msx8qhmaaqscwem7epqchm3us;01;yes;48821021
erd1wxc9kwvefmemr0wg80xkapy0ly39rpz209vcqucces0hag30e57qma0ayv;01;yes;258687655
erd1j0hp5l890hvendy4yntqv8vamycccsl03ll5rw5046l70lrl574qrpnw7m;01;yes;19187288
erd1k0exs9dhj0ryg4nzf6gmlnxy9xfj7sz3gzdmma4ekw7utmassmjs3mkuhv;01;no;332990169
erd1jdwxxd7lnw2vrl8tlq6026yx7vrzpe3kp6cx0g64uapd3uva2tgsjfslz0;01;yes;96473977
erd1kqmhhk3kvpu8a38z5yw8ezynxuv4u3xnmvtfknryw35ac2gnfd5q7upvdr;01;yes;52965510
erd1vutluay2s3c25jgf9hwnewp8m7fgh3nu05lw62eeqf7awx0j62xscsnlj0;01;yes;878000
erd1as2dex5z23a5l7xz6rfqergunxwzfmc3mx5zggdm3entk78jvkdsjapppy;01;yes;1152890
erd1tezep5a0phmfm6gs34luuewacmduu7emvl47r0eer7sl2ar5y5wsylyxnm;01;no;17371748
erd186lgs3ahhn9p3s9ndm8q2e6v8ypu23zk8p57tudreuherd0jk5tq4wawa2;01;yes;1064212
erd1yfn7uv24uzpfh8w5guwqendn4qlmzshe4w43hrcweeg8vuy2ttks62wtjg;01;yes;4269460
erd15fqndkegqgty0zjeh5aw26n8ucj80jp2qmk4e0xkpe5r7hlf4mgsdcn2ay;01;yes;170176928
erd1uvg4kk92pna70jq8h0hstfjczsc5365r4wdredw67tmn0pxh4drs3j36dr;01;yes;157141566
erd17264xsm2ujkmez4pku8xl5e4743q6xq735jges8jzvnuqespm4jsulktsf;01;yes;261227726
erd1agah79usvlj6gnuldwsrttzsagtwqal7uz03c0was2kwkljxezzs3zg5tv;01;yes;17450828
erd1umdglnkm4qv9cuzlu8k0tx3as80cezjlctgp3kpy39g0k99n5lnspsaecu;01;yes;28243417
erd1932umc5kfuez3ragekhw055e9pkxfhfcrcqggke2csw85pyuv0ds0wnjc6;01;yes;34742603
erd1t2z9am6hvjgmpsnr37fy86frwlc634j27w63fu0tfppwpluk9fcs8urvkg;01;yes;850106
erd1j5ur6e2tvkvvkgrnwwq887cdu9zxs3nutszy9gtk7nua8ru5ll7s32dtpj;01;yes;16555114
erd1r7ygny56v5chxr9zkrlff5t7m3mtunkh66n644mcv3fnfmxyraxq82ha8h;01;yes;16550623
erd10wj98qpgs9uq89n5nd9kgv79g7z2s8kqrqnqecvshk4n43euzpgqh0jrwq;01;yes;17173046
erd1u2eneapd742llldq3s79aekqn2dy4ucqspldpkmxxfaq5s2fqg2qzj8g62;01;no;85413151
erd1mjs476wp05drsk4mdqnhjl0c62seyu04f537a8c4hczgjmkswptsfm6f68;01;yes;33842689
erd1sr9efx00wvvvd8hlzj5d9m4n8xy4s4ku2fjkdwwhctlukzyj7g7ssd8j5f;01;yes;12901364
erd1m2unn5xqmgs5k0fujh9qjln09fwuxnv7raky6trrnerrsz4sxw3sd35e6k;01;yes;10108747
erd1evj6kx0msshq3yavtp8vnwl8kjhpy9snaeqmtqj529u389v6yuts7g5ng2;01;yes;74945283
erd1f2tdta2m7vjf5v4tpcft5z6pnrc6shrdlqgjh6jmpggtcznwvcdqtzxhn6;01;yes;8812539
erd1w2ez8gqlafm4uttlt8cnf6kh0klghwcg0qef4pu9xqyryu0qth7q7wgfwg;01;yes;5732088
erd1ja8nh9nrla9s9plta6qd4z9jswvfxtrs2dw2a9p9plm6ek60rz8s2kh5va;01;yes;62629887
erd1fjg5wf3da0ydwskeft8xqy6g08mumndmljgjdpulwycj7x5rf64qyj593t;01;yes;2731831
erd14h0nwmg553xqkly6lcjvty3pteypuup774y7c84jn9x0jkctgs4s59y8he;01;yes;49945336
erd15xgw59qz7v6sp7rmjchejl5kj866rc6fpukzuunvm0xmf5eeqsdqvvwz4z;01;yes;5783465
erd1h63wayvx20f5at7zv8kv960npy5v44xpl87cwu7y8chemlhl7ths03v0jm;01;yes;5459317
erd1rr9jdjn7068wt36z9lf70w2pj0w2744r3wrzrrlcamfdxefuszlszkvfw5;01;yes;5821541
erd13syqqz9tqncke8d5hf0e4t7kyhx4dash66zsmy6qnx00rk946n5srg6nuk;01;yes;469457
erd1g6c547vqy48fnta2hyw79mk3dnhpvpaetrsfym0z9uk4nm7y9rrss8n0pn;01;yes;195350156
erd1me5xca28nll4fzmh7hnakkdtpq485aywu32engs77n8md3jrfdms4ghysa;01;yes;30461406
erd18fqxwulpa5zxqfnnfxetfhws6lxq6caxjwp2uz3llu88gnd00y0s7uurqt;01;yes;307307
erd1su57zfhew6rwfa25frwa5pc2a0f0hph8u89awafkxlvcgh4ypywsl8zgms;01;yes;1928246
erd1drzxmu5u0q2lqah0qmxrn3uu527hakr3myxkvw0myk4mdmveeqts26wsah;01;yes;20041103
erd1c4ksn7pwkc0lew5tmypv3w3g9p09lnl0u5fkzr35w9k7v4exazns69ruyl;01;yes;22430184
erd1cythycatuwgdt5yn83fx7c9skp0ps4cqmqqagpag25he6n8l4xvsnu7rej;01;no;1417041
erd14kpehm9ccszyps4re72cxzapf2385f9hfznp6uxn457ylp5ezhzq8282le;01;no;208885896
erd10v4cr03lqrl58hrf26a0s3nhngusp2kxxx4sqc89g9jlhxaa4sysqt6dwd;01;yes;49592815
erd1c3smykdl6a8wq75s0c8n956krh2z0lll042haemq09aq5w6mmepqjmgxan;01;yes;13440532
erd1x05x75j2aqyzfas06tc06ck3t6c9ahfamp3vpjga2jdpxxltt6sqf465a8;01;yes;148158947
erd1f93fvr4f8qmqgmv4a3kp2j8kvgdzewl686wlpcztw4y22tm6w4ws7nespx;01;yes;12692774
erd1nnlpt4waj6hrd5my63z62dcjw708g0wjr2crzr2s255atxtlt77sm4f7ft;01;yes;204113697
erd16e9q0hl9ej9npwaynteg2pt8xx6jr7rnhfgd8yvgd5skv3nugz8qyf6hru;01;yes;32230477
erd1c6aczs7fzhsv0l6nkxjcezu922kxj0evuxyhmaggh5lcnkpcr8jqs6pdxa;01;yes;28908005
erd1j3f6sfevtr0nes5cn3jerkmkfjjuw2jvpkxe43l073heykqlmmas36a39u;01;yes;704821
erd1d95x3tgkp435jm4xh0ljk7dxedyqu542rrjydlldg79aq4pgl8gspn9hkc;01;yes;19644
erd1vwpuhs4lcm4smdr2n7zr2svs8megr6xa4mz04wtz3ml6xtlr337qh0e6ku;01;yes;33163510
erd14nluef5vct3mmqt03ec34y0uu9825kdrugfvfe9fcj407sa75saqnd6jvx;01;yes;1035470875
erd1kveyk6kq75j79lswc9d394q52hxd6nqg2xh3g4ggd5g98ahwyjaqs424ev;01;yes;45872510
erd1kvhk90ptyf2l7guyqkzukzq2s2yxjyrtf995ayp0385p8k527masfgt8jj;01;yes;479670
erd1adqgpetcmkpvzaheep2aq45lp8jt4ckqsd4rwhfggkr5k92ea8ys8yal77;01;yes;20283249
erd1kec9zvz52ncnplzaefdd7zw6nurxfm8qr9gl2uf843ptt5q6sdzsgwpkj9;01;yes;61891659
erd1yea4dcf57mq56x754rwj60uz3vxpmzkknkc9c34de6j7l7vs9fpqvsmu6m;01;yes;820275661
erd1kgyq7h2y7s6nmxvph667ltdl76sxs56rz4fdqtdpjlajn8f62p4qk08983;01;yes;40023631
erd1mj3cr9q8qhxewfrdr93vpfszkc62ny5l6sl5hnprwg9qwtdx6whq52j22a;01;yes;4676001
erd1px50fhm94zmxszxvlv352rmnz050lmhg3hz6rl6w4njkmfvwptxqlhupfm;01;yes;80
erd1x4m36lm7dzy4xuajrc5g3hy7e34dzy0u05evagkkjy9czx4zkx5s9hkfag;01;yes;6111965
